rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
413,Stefania  Paresi,,ULULALLALUNA ROBIN HOOD,Small,ITA,24.2613,4.7025,1406.2,Competitor,true,10,ProsecCup 2025
414,PAMELA MAZZOTTA,,ROKKITASSUN XCITING STORY,Small,ITA,28.1412,6.0023,1405.4,Competitor,true,6,ProsecCup 2024
415,Martina Binarová,,A3Ch Arrow Medy  Erya´s Elita,Small,,22.9191,4.2641,1405.1,Competitor,true,13,Moravia Open 2025
416,Bram Hoogeveen,Quinta,,Small,NLD,25.7633,5.2369,1402.1,Competitor,true,9,Dutch Open 2025
417,Katrin Dundychová,Daisy,,Small,CZE,23.5044,4.4911,1401.2,Competitor,true,12,"Polish Open SOFT 2025 (XS, S & M)"
418,Mikuláš Kočvara,Ctirad,Ctirad Jet Bat,Small,CZE,27.4264,5.8198,1398.7,Competitor,true,7,JOAWC/SOAWC 2025
419,Marta Klityńska,Lusia,,Small,POL,23.4573,4.5,1398.3,Competitor,true,12,"Polish Open SOFT 2024 (XS, S & M)"
420,Lia Francia,,O' PETIT BROOKLYN DE LA VALLEE DES FOULTIER,Small,FRA,23.4108,4.4899,1397.6,Competitor,true,12,ProsecCup 2025
421,Michèle Taffijn-du Bois,Dutch RePlay,Total Touch Don’t Stop Me Now,Small,NLD,22.7552,4.2714,1397.6,Competitor,true,13,Dutch Open 2025
422,Lucas Bong,,Jaxcprecious Gracie Superstar Snowchampz,Small,,27.3581,5.8063,1397.6,Competitor,true,7,Prague Agility Party 2025
423,Zsiros Tibor,Rézi,Arkovári Rézi Ragacs,Small,,24.7859,4.9701,1395.0,Competitor,true,10,Hungarian Open 2025
424,Anthony Aribart,,Oliya Du roc de la Bevera,Small,,27.2349,5.7947,1394.0,Competitor,true,7,Prague Agility Party 2025
425,Silvia Frieri,,EVYE-B OF CRAZY SISSY'S HOME,Small,ITA,26.3223,5.4931,1393.7,Competitor,true,8,Alpine Agility Open 2024
426,Ania Jaworska,Zinna,,Small,POL,23.299,4.4872,1393.5,Competitor,true,12,"Polish Open 2026 (XS, S & M)"
427,Susanna Negri,IEEVAN,,Small,ITA,24.7606,4.9778,1393.1,Competitor,true,10,Alpine Agility Open 2025
